,City,Country,Temperature,Humidity,Cloudiness,Date,Wind Speed,Lat,Lng
286,Fort Nelson,CA,-1.0,92,90,1603745194,2.6,58.81,-122.7
287,Derzhavīnsk,KZ,1.26,90,98,1603745194,9.19,51.1,66.32
288,Gazli,UZ,10.47,44,16,1603745194,1.8,40.13,63.45
289,Buluang,PH,24.81,90,100,1603745194,2.46,13.31,123.34
290,Pevek,RU,-4.6,93,98,1603745194,5.68,69.7,170.31
291,Iqaluit,CA,-10.0,78,75,1603745009,1.5,63.75,-68.51
292,Novobirilyussy,RU,2.06,97,100,1603745195,2.17,56.95,90.67
293,Teguise,ES,22.0,78,40,1603745195,7.2,29.06,-13.56
294,Aborlan,PH,26.02,83,100,1603745195,7.26,9.44,118.55
295,Tumsar,IN,22.23,72,50,1603745195,0.72,21.38,79.73
296,Mana,GF,27.99,77,40,1603745195,4.32,5.66,-53.78
297,Richards Bay,ZA,20.04,80,100,1603745196,1.04,-28.78,32.04
298,Anaco,VE,26.14,87,88,1603745071,2.26,9.44,-64.47
299,Aksarka,RU,-15.47,95,65,1603745011,3.45,66.56,67.8
300,Faanui,PF,26.74,77,78,1603745196,7.2,-16.48,-151.75
301,Hailey,US,2.22,34,5,1603745196,5.1,43.52,-114.32
302,Ostrovnoy,RU,4.03,93,100,1603745197,12.88,68.05,39.51
303,Priozyornoye,UA,17.66,73,91,1603745197,4.96,45.27,36.33
304,Baghdad,IQ,19.0,39,0,1603745132,2.1,33.34,44.4
305,Mthatha,ZA,15.0,93,100,1603745197,5.1,-31.59,28.78
306,Chilca,PE,20.56,72,20,1603745197,5.7,-12.52,-76.74
307,Altamira,BR,34.0,49,40,1603745198,1.5,-3.2,-52.21
308,Takoradze,GH,25.57,87,100,1603745198,2.89,4.88,-1.76
309,Inta,RU,-10.43,92,0,1603745198,2.19,66.03,60.17
310,Coracora,PE,16.5,32,47,1603745198,5.28,-15.03,-73.78
311,Kalghatgi,IN,21.85,76,0,1603745199,1.24,15.18,74.97
312,Ashland,US,7.22,100,90,1603745152,3.6,40.82,-82.27
313,Ust'-Omchug,RU,-9.45,93,26,1603745199,2.25,61.15,149.63
314,Port Lincoln,AU,12.96,87,1,1603745199,3.66,-34.73,135.87
315,Bulungu,CD,20.81,97,36,1603745199,0.88,-4.55,18.6
316,Guarapari,BR,25.0,73,40,1603745199,7.7,-20.67,-40.5
317,Mahon,ES,12.0,81,0,1603745200,1.5,39.89,4.27
318,Ongandjera,NA,25.84,26,25,1603745200,5.2,-17.88,15.07
319,Wamba,NG,24.14,60,32,1603745200,1.08,8.93,8.6
320,Ust-Kuyga,RU,-18.78,87,99,1603745200,1.38,70.02,135.6
321,Praia da Vitória,PT,21.0,77,40,1603745201,4.5,38.73,-27.07
322,Genhe,CN,-0.55,97,100,1603745201,4.24,50.78,121.52
323,Kumul,CN,2.73,68,100,1603745201,1.53,42.8,93.45
324,Coahuayana Viejo,MX,29.0,70,40,1603745012,5.1,18.73,-103.68
325,Calmar,CA,4.0,44,75,1603745201,4.6,53.27,-113.82
326,Rome,US,9.0,87,90,1603744924,2.6,43.21,-75.46
327,Yangi Marg`ilon,UZ,10.0,53,0,1603745019,3.1,40.43,71.72
328,Lorengau,PG,27.01,79,100,1603745202,2.44,-2.02,147.27
329,Asău,RO,10.56,98,4,1603745202,1.33,46.43,26.4
330,Yar-Sale,RU,-13.63,95,63,1603745202,2.85,66.83,70.83
331,Wajima,JP,14.9,56,39,1603745202,1.98,37.4,136.9
332,Byron Bay,AU,20.0,77,90,1603744984,5.1,-28.65,153.62
333,Ponta Delgada,PT,20.0,77,20,1603745092,8.2,37.73,-25.67
334,Port Shepstone,ZA,18.36,85,62,1603745203,1.61,-30.74,30.45
335,Russell,US,27.0,61,75,1603745203,2.6,32.35,-85.2
336,Pacific Grove,US,22.0,9,1,1603745175,3.1,36.62,-121.92
337,Boca do Acre,BR,31.29,56,100,1603745204,0.78,-8.75,-67.4
338,Şarkîkaraağaç,TR,14.68,46,100,1603745204,1.85,38.08,31.37
339,Nampula,MZ,24.0,73,0,1603745204,4.6,-15.12,39.27
340,San Quintín,MX,20.88,47,15,1603745204,5.08,30.48,-115.95
341,Santa Fe,AR,24.44,34,0,1603744921,1.79,-31.63,-60.7
342,Antofagasta,CL,16.0,72,40,1603744922,6.2,-23.65,-70.4
343,Cap-aux-Meules,CA,2.0,72,90,1603745205,2.1,47.38,-61.86
344,Sherlovaya Gora,RU,-6.88,92,0,1603745205,6.8,50.57,116.25
345,San Francisco,US,22.78,21,20,1603745160,2.1,37.77,-122.42
346,Shenjiamen,CN,18.14,68,0,1603745205,2.37,29.96,122.3
347,Dhupgāri,IN,21.0,94,40,1603745206,1.44,26.59,89.01
348,Beira,MZ,25.0,88,20,1603745003,5.1,-19.84,34.84
349,Kodīnar,IN,26.49,49,0,1603745206,3.42,20.79,70.7
350,Horizontina,BR,21.11,88,52,1603745096,0.45,-27.63,-54.31
351,Fria,GN,22.78,94,16,1603745207,0.44,10.42,-13.58
352,Tongren,CN,15.98,77,74,1603745207,0.71,27.72,109.19
353,Masvingo,ZW,21.34,44,0,1603745207,4.51,-20.06,30.83
354,Machinga,MW,23.57,54,54,1603745207,3.15,-15.17,35.3
355,Soyo,AO,25.03,85,83,1603745207,3.76,-6.13,12.37
356,Kalmunai,LK,26.36,79,70,1603745208,1.39,7.42,81.82
357,Padang,ID,25.61,71,99,1603744981,1.2,-0.95,100.35
358,Itaberaba,BR,27.88,62,100,1603745208,2.03,-12.53,-40.31
359,Clyde River,CA,-11.38,87,12,1603745208,2.17,70.47,-68.59
360,Onda,ES,16.11,46,0,1603745209,1.5,39.97,-0.25
361,Laas,IT,9.44,64,90,1603745209,2.6,46.62,10.7
362,Kenitra,MA,16.0,82,75,1603745076,2.89,34.26,-6.58
363,Saint Anthony,US,0.0,91,40,1603745209,2.1,45.02,-93.22
364,Les Escoumins,CA,-1.14,99,100,1603745209,3.99,48.11,-69.02
365,Reconquista,AR,23.4,56,0,1603745209,3.65,-29.15,-59.65
366,Tuatapere,NZ,11.11,81,91,1603745017,0.45,-46.13,167.68
367,Beringovskiy,RU,-0.19,91,0,1603745210,1.31,63.05,179.32
368,Maputo,MZ,24.0,83,75,1603744938,6.2,-25.97,32.59
369,Ormara,PK,24.53,49,0,1603745210,3.15,25.21,64.64
370,Dakar,SN,28.0,78,3,1603745210,2.1,14.69,-17.44
371,Kensington,AU,16.0,82,75,1603745210,10.3,-33.92,151.22
372,Meadow Lake,US,-2.0,86,90,1603744965,4.1,34.8,-106.54
373,Cabo San Lucas,MX,33.0,54,5,1603745142,7.2,22.89,-109.91
374,Cabedelo,BR,27.0,78,20,1603745211,4.1,-6.98,-34.83
375,Djibouti,DJ,28.0,61,1,1603745211,7.1,11.5,42.5
376,Shingū,JP,11.47,62,16,1603745211,2.38,33.73,135.98
377,Alofi,NU,23.0,94,75,1603745212,6.2,-19.06,-169.92
378,Morant Bay,JM,30.0,74,20,1603745212,7.7,17.88,-76.41
379,Rio Grande,BR,17.63,92,100,1603744933,9.42,-32.03,-52.1
380,Simao,CN,16.1,91,33,1603745212,0.78,22.79,100.97
381,Mason City,US,-1.0,54,1,1603745212,3.6,43.15,-93.2
382,Philadelphia,US,18.89,93,90,1603745082,2.1,39.95,-75.16
383,Khao Wong,TH,20.41,94,85,1603745213,1.73,16.7,104.09
384,Zeya,RU,0.13,92,100,1603745213,1.08,53.75,127.27
385,Muncar,ID,24.7,87,92,1603745213,1.13,-8.43,114.33
386,Saint-François,FR,7.0,87,0,1603745213,2.1,46.42,3.91
387,Petropavlovsk-Kamchatskiy,RU,3.0,100,20,1603745213,2.0,53.05,158.65
388,Camabatela,AO,18.67,100,100,1603745215,1.46,-8.19,15.38
389,Ola,RU,0.37,86,93,1603745215,5.91,59.58,151.28
390,Toamasina,MG,20.0,94,40,1603745215,0.5,-18.17,49.38
391,Iztapa,GT,31.0,74,90,1603745215,4.1,13.93,-90.71
392,Rosarito,MX,22.0,15,20,1603745216,6.7,32.33,-117.03
393,Severo-Yeniseyskiy,RU,-10.64,97,74,1603745216,1.5,60.37,93.04
394,Grindavik,IS,5.0,80,75,1603744974,8.2,63.84,-22.43
395,Vila Velha,BR,25.0,73,40,1603745077,7.7,-20.33,-40.29
396,Kiunga,PG,23.42,97,100,1603745217,0.05,-6.12,141.29
397,Kazanskoye,RU,7.18,89,98,1603745217,5.06,55.64,69.23
398,General Roca,AR,24.0,25,0,1603745217,1.0,-39.03,-67.58
399,Plettenberg Bay,ZA,17.54,84,18,1603745013,4.33,-34.05,23.37
400,Santa Rosa,PH,27.0,78,75,1603745217,4.1,14.31,121.11
401,Mongu,ZM,26.18,21,1,1603745218,3.72,-15.25,23.13
402,Impfondo,CG,22.76,89,35,1603745218,0.91,1.64,18.07
403,Koslan,RU,-6.0,97,100,1603745218,2.21,63.46,48.9
404,Touros,BR,28.0,69,20,1603744978,6.2,-5.2,-35.46
405,Pandan,PH,25.94,83,100,1603745219,2.31,14.05,124.17
406,Aravete,EE,10.0,100,90,1603745219,3.1,59.14,25.75
407,Hobyo,SO,26.22,80,27,1603745219,2.92,5.35,48.53
408,Gamba,GA,24.65,87,100,1603745219,3.36,-2.65,10.0
409,Dalvik,IS,3.0,69,90,1603745219,2.6,65.97,-18.53
410,Mandalgovi,MN,-3.93,69,0,1603745013,3.89,45.76,106.27
411,Savannah Bight,HN,28.28,76,100,1603745220,5.27,16.45,-85.85
412,Pa Daet,TH,23.0,100,20,1603745220,0.5,19.5,99.99
413,Ubari,LY,23.02,25,84,1603745220,5.42,26.59,12.78
414,Codrington,AU,9.92,80,71,1603745220,5.55,-38.27,141.97
415,Avera,US,21.0,94,90,1603745221,3.1,33.19,-82.53
416,Kahului,US,31.0,52,20,1603745064,2.6,20.89,-156.47
417,Trairi,BR,26.19,79,0,1603745221,4.49,-3.28,-39.27
418,Esqueda,MX,19.06,42,1,1603745221,10.7,30.72,-109.58
419,Khani,GE,17.0,63,0,1603745221,7.7,41.96,42.96
420,Hofn,IS,2.81,77,6,1603745016,5.18,64.25,-15.21
421,Beyneu,KZ,4.81,67,0,1603745222,3.78,45.32,55.2
422,Nago,JP,21.0,82,1,1603745222,3.6,26.59,127.98
423,Ulaanbaatar,MN,-13.0,71,0,1603745038,1.0,47.91,106.88
424,Chon Daen,TH,22.21,90,100,1603745222,0.83,16.19,100.86
425,College,US,-1.0,92,90,1603745025,4.1,64.86,-147.8
426,Keti Bandar,PK,25.87,57,0,1603745222,3.9,24.14,67.45
427,Aktobe,KZ,1.0,74,75,1603745223,10.0,50.28,57.21
428,Swan River,CA,-5.21,87,100,1603745223,6.86,52.11,-101.27
429,Corn Island,NI,28.62,71,100,1603745223,2.92,12.17,-83.04
430,Mafeteng,LS,15.98,72,95,1603745224,4.59,-29.82,27.24
431,Sobolevo,RU,7.08,91,63,1603745224,4.74,54.43,31.9
432,Mayor Pablo Lagerenza,PY,28.24,53,65,1603745224,5.35,-19.93,-60.77
433,Porgera,PG,3.62,100,74,1603745224,0.98,-5.47,143.2
434,Katima Mulilo,NA,29.0,21,0,1603745224,3.6,-17.5,24.27
435,Krasnosel'kup,RU,-18.09,90,0,1603745224,4.43,65.7,82.47
436,Saquena,PE,32.36,56,100,1603745225,1.42,-4.67,-73.52
437,Klaksvík,FO,4.0,86,18,1603745225,2.1,62.23,-6.59
438,Datong,CN,2.1,62,39,1603745225,2.36,40.09,113.29
439,Ust-Tsilma,RU,-7.31,96,100,1603745225,1.69,65.44,52.15
440,Sangar,RU,-9.16,97,100,1603745225,2.1,63.92,127.47
441,Ürümqi,CN,3.0,64,0,1603745226,1.0,43.8,87.6
442,Cockburn Town,TC,30.0,66,75,1603745054,5.1,21.46,-71.14
443,Dormidontovka,RU,1.69,91,29,1603745226,1.96,47.77,134.91
444,Bathsheba,BB,29.0,66,75,1603745226,5.1,13.22,-59.52
445,Ryōtsu-minato,JP,13.7,63,33,1603745226,2.33,38.08,138.43
446,Tokonou,GN,22.72,65,100,1603745227,0.55,9.65,-9.78
447,City of San Pedro,PH,27.0,78,75,1603745227,4.1,14.35,121.02
448,Chitral,PK,12.43,33,0,1603745227,1.82,35.85,71.79
449,Nador,MA,18.0,55,0,1603745227,5.7,35.17,-2.93
450,Mnogovershinnyy,RU,-2.99,97,6,1603745228,0.94,53.94,139.92
451,Baykit,RU,-8.38,94,85,1603745035,1.4,61.67,96.37
452,Pathein,MM,24.28,90,7,1603745228,2.02,16.78,94.73
453,Luleå,SE,4.0,100,75,1603745228,2.1,65.58,22.15
454,Kananga,CD,21.19,97,100,1603745228,1.27,-5.9,22.42
455,Adrar,MR,31.67,12,0,1603745229,2.95,20.5,-10.07
456,Samarai,PG,27.45,83,93,1603745229,4.47,-10.62,150.67
457,Mumford,GH,25.71,88,95,1603745229,3.02,5.26,-0.76
458,Dunedin,NZ,11.67,77,71,1603745229,1.94,-45.87,170.5
459,Coari,BR,32.43,56,71,1603745229,0.32,-4.08,-63.14
460,Pitimbu,BR,27.0,78,20,1603745229,4.1,-7.47,-34.81
461,St. George's,GD,30.0,74,20,1603745230,6.7,12.06,-61.75
462,Lemoore,US,18.0,27,20,1603745230,0.41,36.3,-119.78
463,Kodinsk,RU,-3.99,95,91,1603745230,1.86,58.69,99.18
464,Charters Towers,AU,25.6,56,97,1603745230,1.88,-20.1,146.27
465,Necochea,AR,16.04,60,0,1603745013,2.67,-38.55,-58.74
466,Ancud,CL,11.11,87,90,1603745231,5.7,-41.87,-73.82
467,Saint-Augustin,CA,1.52,71,95,1603745231,4.33,51.23,-58.65
468,Hudson Bay,CA,-2.94,83,29,1603745231,4.35,52.85,-102.38
469,Velyka Oleksandrivka,UA,14.39,72,100,1603745231,5.29,47.32,33.3
470,Muhafazat Lahij,YE,23.04,45,0,1603745232,1.3,13.17,44.58
471,Izhma,RU,-8.1,96,62,1603745232,1.39,65.01,53.91
472,Saint-Pierre,RE,22.0,78,90,1603745232,2.1,-21.34,55.48
473,Margate,GB,10.56,66,67,1603745232,1.34,51.38,1.39
474,Aklavik,CA,-11.0,85,75,1603745232,3.1,68.22,-135.01
475,Govindgarh,IN,21.94,23,0,1603745233,1.11,27.5,76.98
476,Xining,CN,0.78,91,100,1603744981,0.87,36.62,101.77
477,Erenhot,CN,-0.8,77,0,1603745233,3.31,43.65,111.98
478,Upernavik,GL,-7.93,81,99,1603744976,2.28,72.79,-56.15
479,Acarí,PE,22.95,50,59,1603745233,4.29,-15.43,-74.62
480,Galveston,US,27.0,69,90,1603745233,6.2,29.37,-94.97
481,Oktyabr'skiy,RU,-1.13,91,92,1603745234,6.57,54.48,53.47
482,Miguel Hidalgo,MX,25.0,12,5,1603745234,3.6,19.42,-99.2
483,Cururupu,BR,27.05,75,96,1603745234,2.06,-1.83,-44.87
484,Muş Province,TR,6.12,53,0,1603745234,0.92,39.0,41.75
485,Esmeralda,CU,29.0,74,75,1603745234,3.6,21.85,-78.12
486,Mossamedes,AO,20.77,78,79,1603745235,0.5,-15.2,12.15
487,Great Falls,US,-3.0,58,90,1603745235,8.7,47.5,-111.3
488,Itoman,JP,22.0,68,20,1603745235,3.1,26.12,127.67
489,Hvide Sande,DK,8.89,79,42,1603745235,0.89,56.0,8.13
490,Osorno,CL,11.0,81,90,1603745092,6.7,-40.57,-73.15
491,Kruisfontein,ZA,17.78,91,100,1603745009,3.13,-34.0,24.73
492,Riyadh,SA,19.0,37,0,1603744981,2.56,24.69,46.72
493,Lugoba,TZ,22.45,87,1,1603745236,0.51,-6.45,38.33
494,Kidal,ML,27.33,15,0,1603745007,4.07,18.44,1.41
495,Talnakh,RU,-17.0,91,40,1603745237,1.0,69.49,88.4
496,Udachny,RU,-22.0,91,0,1603745237,1.0,66.42,112.4
497,Ouango,CF,21.19,95,100,1603745237,1.33,4.31,22.56
498,Buin,CL,27.0,26,0,1603745237,4.1,-33.73,-70.75
499,Champerico,GT,29.0,79,75,1603745238,3.1,14.3,-91.92
500,Tezu,IN,22.69,60,44,1603745238,1.04,27.92,96.17
501,Elizabeth City,US,22.0,83,75,1603745238,3.1,36.29,-76.25
502,Kamaishi,JP,9.75,69,30,1603745238,2.31,39.27,141.88
503,Nouakchott,MR,32.0,11,0,1603745239,3.1,18.09,-15.98
504,Sitka,US,9.0,89,100,1603745239,4.0,57.05,-135.33
505,Bom Jesus,BR,30.81,49,53,1603745239,2.01,-9.07,-44.36
506,Zyryanka,RU,-15.66,91,0,1603745239,1.13,65.75,150.85
507,Perth,AU,16.67,93,40,1603745032,2.6,-31.93,115.83
508,Peniche,PT,13.33,83,100,1603745240,2.94,39.36,-9.38
509,Burley,US,4.0,23,1,1603744989,5.1,42.54,-113.79
510,Pangnirtung,CA,-7.0,73,75,1603745240,4.6,66.15,-65.71
511,Aranos,NA,23.11,40,55,1603745240,4.71,-24.13,19.12
512,Port Hedland,AU,20.0,94,48,1603745240,3.57,-20.32,118.57
513,Diego de Almagro,CL,25.6,20,0,1603745241,4.84,-26.37,-70.05
514,Māndal,IN,21.49,23,0,1603745241,1.84,25.45,74.57
515,Aripuanã,BR,32.35,47,87,1603745241,1.42,-9.17,-60.63
516,Poya,NC,24.7,66,48,1603745241,1.73,-21.35,165.15
517,Kabompo,ZM,23.05,32,24,1603745241,1.88,-13.59,24.2
518,San Andrés,CO,30.0,70,75,1603745241,1.5,12.58,-81.7
519,Melo,UY,16.48,92,100,1603745242,3.92,-32.37,-54.18
520,Livingston,GB,9.0,81,75,1603745242,4.1,55.9,-3.52
521,Yinchuan,CN,6.63,50,100,1603745242,2.74,38.47,106.27
522,Merke,KZ,11.16,40,35,1603745242,2.6,42.87,73.18
523,Phan Thiet,VN,24.7,88,100,1603745242,1.49,10.93,108.1
524,Yamoussoukro,CI,25.0,88,0,1603745243,2.1,6.82,-5.28
525,Sabang,ID,27.89,74,97,1603745243,7.76,5.89,95.32
526,Omsukchan,RU,-9.04,94,100,1603745243,3.18,62.53,155.8
527,Loikaw,MM,18.67,91,5,1603745243,0.27,19.67,97.21
528,Garni,AM,12.0,37,0,1603745244,2.1,40.12,44.73
529,Matara,LK,25.16,90,63,1603745244,3.1,5.95,80.54
530,Inuvik,CA,-12.0,78,90,1603744995,4.6,68.35,-133.72
531,Aswān,EG,26.5,28,0,1603744978,5.14,24.09,32.91
532,Henties Bay,NA,13.89,92,0,1603745244,2.48,-22.12,14.28
533,Port-Gentil,GA,26.0,88,75,1603745245,3.1,-0.72,8.78
534,Huarmey,PE,20.95,68,100,1603745245,4.59,-10.07,-78.15
535,Itarema,BR,26.23,81,0,1603745245,5.81,-2.92,-39.92
536,Hambantota,LK,25.83,84,95,1603745245,3.66,6.12,81.12
537,Caravelas,BR,24.22,83,4,1603744980,3.23,-17.71,-39.25
538,Honolulu,US,28.0,69,75,1603745246,1.49,21.31,-157.86
539,Price,US,2.0,13,1,1603745084,2.1,39.6,-110.81
540,Dhārchula,IN,10.94,40,0,1603745246,1.97,29.85,80.53
541,Rodrigues Alves,BR,33.0,63,75,1603745246,4.6,-7.74,-72.65
542,Flinders,AU,14.44,86,98,1603745246,1.79,-34.58,150.86
543,Kalevala,RU,6.78,93,100,1603745246,4.38,65.2,31.17
544,Bandrele,YT,25.0,83,0,1603745247,2.1,-12.91,45.19
545,Mildura,AU,12.0,87,90,1603745247,5.1,-34.2,142.15
546,Sokoni,TZ,26.0,78,40,1603744967,1.5,-6.43,39.55
547,Dilla,ET,16.34,77,42,1603745247,1.83,6.41,38.31
548,Katy,US,28.89,61,75,1603745248,6.2,29.79,-95.82
549,Mocuba,MZ,21.84,89,12,1603745248,1.37,-16.84,36.99
550,Staryy Nadym,RU,-13.71,94,0,1603745248,4.33,65.61,72.68
551,Tondano,ID,23.0,94,20,1603745248,1.0,1.3,124.91
552,Umm Kaddadah,SD,28.6,21,0,1603745248,6.6,13.6,26.69
553,Tabou,CI,25.56,89,84,1603745249,3.86,4.42,-7.35
554,Nabire,ID,23.62,87,4,1603745249,1.75,-3.37,135.48
555,Mulchén,CL,15.0,62,75,1603745249,2.6,-37.72,-72.23
556,Tautira,PF,29.0,66,75,1603745250,5.7,-17.73,-149.15
557,Koungheul,SN,30.0,15,0,1603745059,2.46,13.98,-14.8
558,Anadyr,RU,-9.0,92,75,1603745250,2.0,64.75,177.48
559,Santa Maria da Boa Vista,BR,33.59,32,99,1603745250,0.87,-8.81,-39.83
560,Talara,PE,19.97,80,85,1603745233,5.74,-4.58,-81.27
561,Nuuk,GL,-2.22,74,100,1603745250,3.58,64.18,-51.72
562,Turiaçu,BR,27.64,72,90,1603745251,2.81,-1.66,-45.37
563,Vao,NC,23.0,83,7,1603745251,8.85,-22.67,167.48
564,Fallon,US,6.11,21,75,1603745103,2.6,39.47,-118.78
565,Bereda,ES,8.89,100,94,1603745251,4.02,43.27,-7.54
566,Maraã,BR,32.09,59,77,1603745252,1.03,-1.83,-65.37
567,Kerteminde,DK,10.0,82,88,1603745252,1.34,55.45,10.66
568,Bentiu,SS,24.03,80,93,1603745252,2.05,9.23,29.83
569,Geilo,NO,1.67,89,100,1603745252,1.41,60.53,8.21
570,Mackay,AU,21.0,94,90,1603745088,3.1,-21.15,149.2
571,Sterling,US,16.67,82,75,1603745253,1.5,39.01,-77.43
572,Dalbandin,PK,12.64,31,0,1603745253,0.2,28.89,64.41
573,Camocim,BR,26.93,76,0,1603745253,7.69,-2.9,-40.84
